,u1_id,u2_id,u1_willing,u2_willing,similarity
774,875,882,0,0,13
775,883,3294,0,0,9
776,884,1479,0,0,6
777,541,885,0,0,9
778,164,887,0,1,15
779,888,2013,0,0,8
780,871,889,0,0,11
781,763,890,0,0,9
782,891,2938,0,0,8
783,892,1800,1,0,11
784,894,3440,0,0,10
785,895,2551,1,0,8
786,896,2292,0,0,2
787,897,1636,0,1,9
788,898,1139,1,0,8
789,599,899,1,0,7
790,902,2832,0,0,7
791,903,2842,0,0,13
792,905,2854,0,0,12
793,906,1329,0,0,6
794,907,1726,1,0,7
795,320,909,0,0,12
796,910,1438,0,0,11
797,911,1916,1,0,7
798,912,1811,0,0,6
799,913,3191,0,0,5
800,914,2006,1,0,8
801,915,1519,1,0,10
802,916,2050,0,1,13
803,917,1439,0,0,1
804,918,1771,0,0,9
805,919,1673,0,0,8
806,921,3777,0,0,8
807,922,3563,0,0,13
808,925,1318,0,1,10
809,926,1346,1,0,8
810,927,1921,1,0,7
811,928,3539,0,0,9
812,929,2882,0,0,7
813,930,3188,0,0,9
814,931,3538,0,0,3
815,932,3687,0,0,6
816,933,1779,1,0,9
817,934,1274,0,0,10
818,935,2739,0,0,12
819,937,2619,1,0,12
820,938,1753,1,0,7
821,939,1037,0,1,9
822,940,1888,0,0,11
823,941,1394,0,0,11
824,942,1835,0,1,8
825,943,3529,0,0,12
826,944,1620,0,0,8
827,945,1205,0,1,9
828,948,1237,1,0,11
829,492,949,0,0,6
830,950,2464,0,0,9
831,672,951,1,0,11
832,952,3403,0,0,1
833,789,953,1,1,8
834,954,3419,1,0,14
835,955,2436,0,0,12
836,956,986,0,0,3
837,755,957,0,0,6
838,4,959,0,0,16
839,960,1037,1,1,15
840,961,2563,1,0,14
841,206,962,1,0,11
842,424,964,0,0,11
843,968,3860,1,0,6
844,969,1551,0,0,9
845,107,970,0,0,8
846,971,3634,1,0,6
847,972,3617,0,0,1
848,214,973,0,0,2
849,974,3504,0,1,4
850,975,3201,0,1,10
851,976,1493,0,0,9
852,977,1911,0,0,20
853,978,1322,0,0,10
854,794,979,1,0,7
855,981,1212,0,0,7
856,982,994,1,0,11
857,687,983,0,0,8
858,984,3481,1,0,6
859,986,1120,1,1,7
860,988,3368,0,0,3
861,989,3111,0,0,11
862,990,1811,1,0,10
863,213,991,0,0,11
864,984,992,0,0,10
865,993,3830,1,1,17
866,994,2358,0,0,14
867,995,2203,0,0,6
868,996,1299,0,0,6
869,997,2524,0,0,3
870,999,1015,1,1,6
871,1000,1405,0,0,7
872,1001,2177,0,1,8
873,1002,1575,0,0,7
874,167,1004,0,0,8
875,513,1006,1,1,8
876,1007,3821,0,0,10
877,1008,3601,0,0,11
878,1009,1191,0,0,10
879,1010,3065,0,0,10
880,1011,2817,0,0,17
881,1012,3058,0,0,8
882,1013,2448,0,0,15
883,148,1014,1,0,13
884,1016,1534,0,0,14
885,1017,2719,1,1,6
886,1018,3444,1,0,8
887,1019,1405,1,1,8
888,1021,1369,0,1,10
889,613,1022,1,0,7
890,1023,3252,0,0,10
891,1020,1024,0,0,9
892,1025,1145,0,0,15
893,1026,2639,0,0,12
894,1027,1383,0,0,10
895,55,1028,1,0,9
896,1029,1051,0,0,10
897,1031,3289,0,0,0
898,1032,1402,0,0,9
899,1033,1326,1,0,6
900,1034,2116,0,0,5
901,508,1035,0,1,9
902,1036,3024,0,0,8
903,1037,1196,1,0,6
904,1038,2702,0,0,8
905,1039,1440,0,0,10
906,1040,3282,1,0,8
907,959,1041,0,0,10
908,1042,2219,0,1,10
909,1043,2627,1,0,5
910,1044,1559,1,0,5
911,1045,1444,1,0,10
912,1046,1185,1,1,4
913,1047,3376,0,0,4
914,1048,2090,0,0,9
915,1049,1370,1,0,11
916,1050,1803,0,1,8
917,1051,3240,0,0,13
918,1052,1170,1,0,5
919,782,1054,0,0,11
920,1055,2966,1,0,11
921,1056,1069,0,0,12
922,1057,1322,0,0,5
923,1058,1324,0,0,8
924,1060,3540,0,0,14
